ship-postal-code,ship-city,ship-state,ship-country
781029.0,GUWAHATI,ASSAM,IN
560103.0,BENGALURU,KARNATAKA,IN
560023.0,BENGALURU,KARNATAKA,IN
440022.0,NAGPUR,MAHARASHTRA,IN
400607.0,THANE,MAHARASHTRA,IN
389151.0,DAHOD,GUJARAT,IN
834004.0,RANCHI,JHARKHAND,IN
411014.0,PUNE,MAHARASHTRA,IN
586201.0,VIJAPURA,KARNATAKA,IN
400080.0,MUMBAI,MAHARASHTRA,IN
560001.0,BANGALORE,KARNATAKA,IN
560098.0,BENGALURU,KARNATAKA,IN
760002.0,BERHAMPUR,ODISHA,IN
500085.0,HYDERABAD,TELANGANA,IN
411045.0,PUNE,MAHARASHTRA,IN
383001.0,HIMMATNAGAR,GUJARAT,IN
700048.0,KOLKATA,WEST BENGAL,IN
700078.0,KOLKATA,WEST BENGAL,IN
636705.0,DHARMAPURI,TAMIL NADU,IN
248005.0,DEHRADUN,UTTARAKHAND,IN
303905.0,JAIPUR,RAJASTHAN,IN
390019.0,VADODARA,GUJARAT,IN
680506.0,CHAVAKKAD,KERALA,IN
800026.0,PATNA,BIHAR,IN
600028.0,CHENNAI,TAMIL NADU,IN
390018.0,VADODARA,GUJARAT,IN
390003.0,VADODARA,GUJARAT,IN
411046.0,PUNE,MAHARASHTRA,IN
180011.0,JAMMU,JAMMU & KASHMIR,IN
560026.0,BANGALORE,KARNATAKA,IN
110036.0,NEW DELHI,DELHI,IN
125039.0,NARNAUND,HARYANA,IN
380051.0,AHMEDABAD,GUJARAT,IN
421502.0,AMBARNATH,MAHARASHTRA,IN
474005.0,GWALIOR,MADHYA PRADESH,IN
110078.0,NEW DELHI,DELHI,IN
124001.0,ROHTAK,HARYANA,IN
700156.0,KOLKATA,WEST BENGAL,IN
110034.0,NEW DELHI,DELHI,IN
500054.0,HYDERABAD,TELANGANA,IN
800002.0,PATNA,BIHAR,IN
505211.0,RAMAGUNDAM,TELANGANA,IN
262501.0,PITHORAGARH,UTTARAKHAND,IN
700057.0,KOLKATA,WEST BENGAL,IN
400101.0,MUMBAI,MAHARASHTRA,IN
500053.0,HYDERABAD,TELANGANA,IN
781014.0,"GUWAHATI, KAMRUP (M)",ASSAM,IN
563101.0,KOLAR,KARNATAKA,IN
147001.0,PATIALA,PUNJAB,IN
486001.0,REWA,MADHYA PRADESH,IN
783380.0,BONGAIGAON,ASSAM,IN
500087.0,HYDERABAD,TELANGANA,IN
560055.0,BENGALURU,KARNATAKA,IN
603002.0,CHENGALPATTU,TAMIL NADU,IN
621212.0,PERAMBALUR,TAMIL NADU,IN
174001.0,BILASPUR,HIMACHAL PRADESH,IN
600099.0,CHENNAI,TAMIL NADU,IN
221010.0,VARANASI,UTTAR PRADESH,IN
560036.0,BENGALURU,KARNATAKA,IN
641035.0,COIMBATORE,TAMIL NADU,IN
497449.0,CHIRMIRI,CHHATTISGARH,IN
276302.0,AZAMGARH,UTTAR PRADESH,IN
421306.0,KALYAN,MAHARASHTRA,IN
110016.0,NEW DELHI,DELHI,IN
502032.0,HYDERABAD,TELANGANA,IN
781026.0,GUWAHATI,ASSAM,IN
570008.0,MYSORE,KARNATAKA,IN
225001.0,BARABANKI,UTTAR PRADESH,IN
275301.0,AMILA,UTTAR PRADESH,IN
520010.0,VIJAYAWADA,ANDHRA PRADESH,IN
493331.0,RAWAN AMBUJA CEMENT PLANT,CHHATTISGARH,IN
248142.0,HERBERTPUR,UTTARAKHAND,IN
560048.0,BENGALURU,KARNATAKA,IN
682021.0,KALAMASSERY,KERALA,IN
752002.0,PURI-2,ODISHA,IN
762010.0,TIKABALI,ODISHA,IN
803115.0,BIHARSHARIF,BIHAR,IN
500075.0,HYDERABAD,TELANGANA,IN
683513.0,PARAVUR,KERALA,IN
272001.0,BASTI,UTTAR PRADESH,IN
632513.0,WALAJAPET,TAMIL NADU,IN
560029.0,BENGALURU,KARNATAKA,IN
123027.0,MAHENDRAGARH,HARYANA,IN
500086.0,HYDERABAD,TELANGANA,IN
110019.0,NEW DELHI,DELHI,IN
122002.0,GURUGRAM,HARYANA,IN
560022.0,BENGALURU,KARNATAKA,IN
400069.0,MUMBAI,MAHARASHTRA,IN
246722.0,BIJNOR,UTTAR PRADESH,IN
400078.0,MUMBAI,MAHARASHTRA,IN
211001.0,ALLAHABAD,UTTAR PRADESH,IN
401202.0,VASAI VIRAR,MAHARASHTRA,IN
560087.0,BENGALURU,KARNATAKA,IN
246701.0,BIJNOR,UTTAR PRADESH,IN
500090.0,HYDERABAD,TELANGANA,IN
560075.0,BENGALURU,KARNATAKA,IN
575001.0,MANGALURU,KARNATAKA,IN
500034.0,HYDERABAD,TELANGANA,IN
700059.0,NEW TOWN,WEST BENGAL,IN
400016.0,MUMBAI,MAHARASHTRA,IN
244302.0,SAMBHAL,UTTAR PRADESH,IN
441002.0,NAGPUR,MAHARASHTRA,IN
607202.0,ELAVANASURKOTTAI,TAMIL NADU,IN
416410.0,SANGLI MIRAJ KUPWAD,MAHARASHTRA,IN
570016.0,MYSURU,KARNATAKA,IN
393002.0,ANKLESHWR,GUJARAT,IN
600117.0,CHENNAI,TAMIL NADU,IN
201009.0,GREATER NOIDA WEST,UTTAR PRADESH,IN
180007.0,JAMMU,JAMMU & KASHMIR,IN
791113.0,ITANAGAR,ARUNACHAL PRADESH,IN
700075.0,KOLKATA,WEST BENGAL,IN
444105.0,KARANJA,MAHARASHTRA,IN
110074.0,NEW DELHI,DELHI,IN
312620.0,NIMBAHERA,RAJASTHAN,IN
795010.0,IMPHAL EAST,MANIPUR,IN
700064.0,BIDHAN NAGAR,WEST BENGAL,IN
560064.0,BENGALURU,KARNATAKA,IN
380015.0,AHMEDABAD,GUJARAT,IN
620001.0,TIRUCHIRAPPALLI,TAMIL NADU,IN
752054.0,BHUBANESWAR,ODISHA,IN
202001.0,ALIGARH,UTTAR PRADESH,IN
682006.0,KOCHI,KERALA,IN
201014.0,GHAZIABAD,UTTAR PRADESH,IN
412207.0,PUNE,MAHARASHTRA,IN
560016.0,BANGALORE,KARNATAKA,IN
676517.0,MALAPPURAM,KERALA,IN
201301.0,NOIDA,UTTAR PRADESH,IN
201308.0,GREATER NOIDA,UTTAR PRADESH,IN
800023.0,PATNA,BIHAR,IN
785674.0,SIBSAGAR,ASSAM,IN
823001.0,GAYA,BIHAR,IN
560083.0,BENGALURU,KARNATAKA,IN
122001.0,GURUGRAM,HARYANA,IN
691522.0,KOLLAM,KERALA,IN
670622.0,PERALASSERI,KERALA,IN
560102.0,BENGALURU,KARNATAKA,IN
560100.0,BENGALURU,KARNATAKA,IN
576104.0,UDUPI,KARNATAKA,IN
785634.0,MARIANI,ASSAM,IN
110075.0,NEW DELHI,DELHI,IN
575006.0,MANGALURU,KARNATAKA,IN
380022.0,AHMEDABAD,GUJARAT,IN
700051.0,KOLKATA,WEST BENGAL,IN
736101.0,COOCH BEHAR,WEST BENGAL,IN
411037.0,PUNE,MAHARASHTRA,IN
248009.0,DEHRADUN,UTTARAKHAND,IN
828111.0,JHARIA KHAS,JHARKHAND,IN
700070.0,KOLKATA,WEST BENGAL,IN
500010.0,SECUNDERABAD,TELANGANA,IN
313001.0,UDAIPUR,RAJASTHAN,IN
641030.0,COIMBATORE,TAMIL NADU,IN
751006.0,BHUBANESWAR,ODISHA,IN
812003.0,BHAGALPUR,BIHAR,IN
440036.0,NAGPUR,MAHARASHTRA,IN
600096.0,CHENNAI,TAMIL NADU,IN
742103.0,BERHAMPORE,WEST BENGAL,IN
248001.0,DEHRADUN,UTTARAKHAND,IN
480661.0,SEONI,MADHYA PRADESH,IN
282002.0,AGRA,UTTAR PRADESH,IN
226029.0,LUCKNOW,UTTAR PRADESH,IN
560067.0,BENGALURU,KARNATAKA,IN
800001.0,PATNA,BIHAR,IN
201012.0,GHAZIABAD,UTTAR PRADESH,IN
172023.0,NERMAND,HIMACHAL PRADESH,IN
600010.0,CHENNAI,TAMIL NADU,IN
503111.0,KAMAREDDY,TELANGANA,IN
190015.0,SRINAGAR,JAMMU & KASHMIR,IN
560042.0,BENGALURU,KARNATAKA,IN
586212.0,MUDDEBIHAL,KARNATAKA,IN
523302.0,SANTHAMAGULURU MANDAL,ANDHRA PRADESH,IN
500058.0,HYDERABAD,TELANGANA,IN
110045.0,NEW DELHI,DELHI,IN
562125.0,BENGALURU,KARNATAKA,IN
700034.0,KOLKATA 700034,WEST BENGAL,IN
700045.0,KOLKATA,WEST BENGAL,IN
500001.0,HYDERABAD,TELANGANA,IN
700145.0,BARUIPUR,WEST BENGAL,IN
754211.0,KENDRAPARA,ODISHA,IN
521225.0,VIJAYAWADA,ANDHRA PRADESH,IN
400072.0,MUMBAI,MAHARASHTRA,IN
422003.0,NASHIK,MAHARASHTRA,IN
401107.0,THANE,MAHARASHTRA,IN
146001.0,HOSHIARPUR,PUNJAB,IN
560010.0,BENGALURU,KARNATAKA,IN
413401.0,BARSHI,MAHARASHTRA,IN
500089.0,HYDERABAD,TELANGANA,IN
560068.0,BENGALURU,KARNATAKA,IN
600036.0,CHENNAI,TAMIL NADU,IN
134107.0,CHANDI MANDIR,HARYANA,IN
456010.0,UJJAIN,MADHYA PRADESH,IN
263139.0,HALDWANI,UTTARAKHAND,IN
600125.0,CHENNAI,TAMIL NADU,IN
400049.0,MUMBAI,MAHARASHTRA,IN
249193.0,UTTARKASHI,UTTARAKHAND,IN
403107.0,OLD GOA,GOA,IN
451224.0,MAHESHWAR,MADHYA PRADESH,IN
241001.0,HARDOI,UTTAR PRADESH,IN
500073.0,HYDERABAD,TELANGANA,IN
793008.0,SHILLONG,MEGHALAYA,IN
454552.0,DHAMNOD DHAR DISTRICT,MADHYA PRADESH,IN
560070.0,BENGALURU,KARNATAKA,IN
741222.0,CHAKDAHA,WEST BENGAL,IN
600082.0,CHENNAI,TAMIL NADU,IN
700044.0,KOLKATA,WEST BENGAL,IN
577101.0,CHIKKAMAGALURU,KARNATAKA,IN
751003.0,BHUBANESWAR,ODISHA,IN
122018.0,GURUGRAM,HARYANA,IN
700050.0,KOLKATA,WEST BENGAL,IN
211004.0,ALLAHABAD,UTTAR PRADESH,IN
226022.0,LUCKNOW,UTTAR PRADESH,IN
700089.0,KOLKATA,WEST BENGAL,IN
732101.0,MALDA,WEST BENGAL,IN
524314.0,NELLORE,ANDHRA PRADESH,IN
403703.0,CUNCOLIM,GOA,IN
500068.0,HYDERABAD,TELANGANA,IN
411028.0,PUNE,MAHARASHTRA,IN
695003.0,TRIVANDRUM,KERALA,IN
208027.0,KANPUR,UTTAR PRADESH,IN
624301.0,CHINNALAPATTI,TAMIL NADU,IN
560072.0,BENGALURU,KARNATAKA,IN
263642.0,BAGESHWAR,UTTARAKHAND,IN
110059.0,NEW DELHI,DELHI,IN
700122.0,BARRACKPORE,WEST BENGAL,IN
421201.0,DOMBIVALI  EAST,MAHARASHTRA,IN
110017.0,NEW DELHI,DELHI,IN
801105.0,PATNA,BIHAR,IN
500070.0,HYDERABAD,TELANGANA,IN
110085.0,NEW DELHI,DELHI,IN
700135.0,NEW TOWN,WEST BENGAL,IN
502319.0,HYDERABAD,TELANGANA,IN
110096.0,NEW DELHI,DELHI,IN
785667.0,SIBSAGAR,ASSAM,IN
180015.0,JAMMU,JAMMU & KASHMIR,IN
411019.0,PUNE,MAHARASHTRA,IN
689695.0,PATHANAPURAM,KERALA,IN
222001.0,JAUNPUR,UTTAR PRADESH,IN
413001.0,SOLAPUR,MAHARASHTRA,IN
411047.0,PUNE,MAHARASHTRA,IN
509001.0,MAHBUBNAGAR,TELANGANA,IN
248198.0,NK SWEETS VIKASNAGAR,UTTARAKHAND,IN
734101.0,DARJEELING,WEST BENGAL,IN
834001.0,RANCHI,JHARKHAND,IN
560019.0,BENGALURU,KARNATAKA,IN
141001.0,LUDHIANA,PUNJAB,IN
500043.0,HYDERABAD,TELANGANA,IN
842002.0,MUZAFFARPUR,BIHAR,IN
500011.0,SECUNDERABAD,TELANGANA,IN
231216.0,SONBHADRA,UTTAR PRADESH,IN
533003.0,KAKINADA,ANDHRA PRADESH,IN
721635.0,HALDIA,WEST BENGAL,IN
500056.0,HYDERABAD,TELANGANA,IN
403502.0,TIVIM,GOA,IN
600024.0,CHENNAI,TAMIL NADU,IN
282001.0,AGRA,UTTAR PRADESH,IN
370465.0,MANDVI KACHCHH DISTRICT,GUJARAT,IN
768004.0,SAMBALPUR,ODISHA,IN
629701.0,KANNIYAKUMARI,TAMIL NADU,IN
500094.0,HYDERABAD,TELANGANA,IN
600091.0,CHENNAI,TAMIL NADU,IN
854301.0,PURNIA,BIHAR,IN
793022.0,SHILLONG,MEGHALAYA,IN
411057.0,PUNE,MAHARASHTRA,IN
534101.0,TADEPALLIGUDEM,ANDHRA PRADESH,IN
201001.0,GHAZIABAD,UTTAR PRADESH,IN
474001.0,GWALIOR,MADHYA PRADESH,IN
444101.0,AKOLA,MAHARASHTRA,IN
785001.0,JORHAT,ASSAM,IN
600100.0,CHENNAI,TAMIL NADU,IN
562159.0,RAMANAGARA,KARNATAKA,IN
586109.0,VIJAYAPUR,KARNATAKA,IN
827001.0,BOKARO STEEL CITY,JHARKHAND,IN
560008.0,BENGALURU,KARNATAKA,IN
226002.0,LUCKNOW,UTTAR PRADESH,IN
507003.0,KHAMMAM,TELANGANA,IN
110084.0,NEW DELHI,DELHI,IN
431002.0,AURANGABAD,MAHARASHTRA,IN
487551.0,GADARWARA,MADHYA PRADESH,IN
500050.0,HYDERABAD,TELANGANA,IN
605001.0,PUDUCHERRY,PUDUCHERRY,IN
423109.0,SHIRDI,MAHARASHTRA,IN
632004.0,VELLORE,TAMIL NADU,IN
575007.0,MANGALURU,KARNATAKA,IN
486889.0,SINGRAULI,MADHYA PRADESH,IN
110063.0,NEW DELHI,DELHI,IN
560077.0,BENGALURU,KARNATAKA,IN
400097.0,MUMBAI,MAHARASHTRA,IN
682301.0,THRIPPUNITHURA,KERALA,IN
758001.0,KENDUJHAR,ODISHA,IN
400066.0,MUMBAI,MAHARASHTRA,IN
600015.0,CHENNAI,TAMIL NADU,IN
600115.0,CHENNAI,TAMIL NADU,IN
122022.0,GURUGRAM,HARYANA,IN
141012.0,LUDHIANA,PUNJAB,IN
403114.0,NERUL,GOA,IN
795004.0,IMPHAL,MANIPUR,IN
781120.0,PALASBARI,ASSAM,IN
562101.0,CHIKKABALLAPUR,KARNATAKA,IN
711302.0,ANDUL NEAR MAYA STORES,WEST BENGAL,IN
560078.0,BENGALURU,KARNATAKA,IN
400067.0,MUMBAI,MAHARASHTRA,IN
500067.0,HYDERABAD,TELANGANA,IN
560011.0,BENGALURU,KARNATAKA,IN
560035.0,BENGALURU,KARNATAKA,IN
395007.0,SURAT,GUJARAT,IN
517001.0,CHITTOOR,ANDHRA PRADESH,IN
577548.0,KADUR,KARNATAKA,IN
335804.0,SURATGARH,RAJASTHAN,IN
400095.0,MUMBAI,MAHARASHTRA,IN
143531.0,DINANAGAR,PUNJAB,IN
700028.0,KOLKATA,WEST BENGAL,IN
421004.0,KALYAN,MAHARASHTRA,IN
605752.0,ARAKANDANALLUR,TAMIL NADU,IN
462038.0,BHOPAL,MADHYA PRADESH,IN
500036.0,HYDERABAD,TELANGANA,IN
497235.0,BHATGAON,CHHATTISGARH,IN
761126.0,BHANJANAGAR,ODISHA,IN
531173.0,VISAKHAPATNAM,ANDHRA PRADESH,IN
530048.0,MADHURAWADA,ANDHRA PRADESH,IN
263601.0,ALMORA,UTTARAKHAND,IN
516360.0,PRODDATUR,ANDHRA PRADESH,IN
413701.0,SHRIGONDA,MAHARASHTRA,IN
506330.0,WARANGAL,TELANGANA,IN
600089.0,CHENNAI,TAMIL NADU,IN
224001.0,FAIZABAD,UTTAR PRADESH,IN
301019.0,BHIWADI,RAJASTHAN,IN
211002.0,ALLAHABAD,UTTAR PRADESH,IN
506009.0,WARANGAL,TELANGANA,IN
390011.0,VADODARA,GUJARAT,IN
110030.0,NEW DELHI,DELHI,IN
422101.0,NASHIK,MAHARASHTRA,IN
732103.0,MALDA,WEST BENGAL,IN
421301.0,KALYAN,MAHARASHTRA,IN
530047.0,VISAKHAPATNAM,ANDHRA PRADESH,IN
690521.0,KOLLAM,KERALA,IN
560021.0,BENGALURU,KARNATAKA,IN
400042.0,MUMBAI,MAHARASHTRA,IN
522614.0,GUNTUR,ANDHRA PRADESH,IN
380058.0,AHMEDABAD,GUJARAT,IN
575002.0,MANGALURU,KARNATAKA,IN
560043.0,BENGALURU,KARNATAKA,IN
411033.0,PUNE,MAHARASHTRA,IN
247667.0,ROORKEE,UTTARAKHAND,IN
440006.0,NAGPUR,MAHARASHTRA,IN
761002.0,GOLABANDHA,ODISHA,IN
743127.0,BHATPARA,WEST BENGAL,IN
176092.0,PALAMPUR,HIMACHAL PRADESH,IN
411001.0,PUNE,MAHARASHTRA,IN
208017.0,KANPUR,UTTAR PRADESH,IN
400074.0,MUMBAI,MAHARASHTRA,IN
600128.0,CHENNAI,TAMIL NADU,IN
110058.0,NEW DELHI,DELHI,IN
473995.0,PICHHORE SHIVPURI DISTRICT,MADHYA PRADESH,IN
226025.0,LUCKNOW,UTTAR PRADESH,IN
203205.0,SIKANDARABAD INDUSTRIAL AREA,UTTAR PRADESH,IN
400098.0,MUMBAI,MAHARASHTRA,IN
695005.0,THIRUVANANTHAPURAM,KERALA,IN
690107.0,MAVELIKKARA,KERALA,IN
700022.0,KOLKATA,WEST BENGAL,IN
400615.0,THANE,MAHARASHTRA,IN
570001.0,MYSURU,KARNATAKA,IN
143516.0,QADIAN,PUNJAB,IN
751021.0,BHUBANESWAR,ODISHA,IN
585101.0,KALABURGI,KARNATAKA,IN
440003.0,NAGPUR,MAHARASHTRA,IN
509327.0,RANGAREDDY,TELANGANA,IN
500013.0,HYDERABAD,TELANGANA,IN
380054.0,AHMEDABAD,GUJARAT,IN
600063.0,CHENNAI,TAMIL NADU,IN
799250.0,DHARMANAGAR,TRIPURA,IN
302012.0,JAIPUR,RAJASTHAN,IN
124103.0,JHAJJAR,HARYANA,IN
500005.0,HYDERABAD,TELANGANA,IN
560105.0,BENGALURU,KARNATAKA,IN
831005.0,JAMSHEDPUR,JHARKHAND,IN
390016.0,VADODARA,GUJARAT,IN
250001.0,MEERUT,UTTAR PRADESH,IN
273004.0,GORAKHPUR,UTTAR PRADESH,IN
574227.0,MUDBIDRI,KARNATAKA,IN
403802.0,VASCO DA GAMA,GOA,IN
387001.0,NADIAD,GUJARAT,IN
440015.0,NAGPUR,MAHARASHTRA,IN
500006.0,HYDERABAD,TELANGANA,IN
530027.0,VISAKHAPATNAM,ANDHRA PRADESH,IN
208013.0,KANPURKANPUR,UTTAR PRADESH,IN
500098.0,HYDERABAD,TELANGANA,IN
210504.0,HAMIRPUR,UTTAR PRADESH,IN
600086.0,CHENNAI,TAMIL NADU,IN
143001.0,AMRITSAR,PUNJAB,IN
110039.0,NEW DELHI,DELHI,IN
641037.0,COIMBATORE,TAMIL NADU,IN
306401.0,PALI,RAJASTHAN,IN
401201.0,BASSEIN,MAHARASHTRA,IN
689101.0,THIRUVALLA,KERALA,IN
795113.0,IMPHAL,MANIPUR,IN
627401.0,AMBASAMUDRAM,TAMIL NADU,IN
689698.0,PATHANAMTHITTA,KERALA,IN
600002.0,CHENNAI,TAMIL NADU,IN
535002.0,VIZIANAGARAM,ANDHRA PRADESH,IN
517113.0,CHITTOOR DISTRICT,ANDHRA PRADESH,IN
229001.0,RAE BARELI,UTTAR PRADESH,IN
847201.0,BENIPUR,BIHAR,IN
262308.0,KHATIMA,UTTARAKHAND,IN
638005.0,ERODE,TAMIL NADU,IN
827012.0,BOKARO STEEL CITY,JHARKHAND,IN
421001.0,ULHASNAGAR,MAHARASHTRA,IN
452010.0,INDORE,MADHYA PRADESH,IN
141106.0,HALWARA,PUNJAB,IN
401101.0,THANE,MAHARASHTRA,IN
560056.0,BENGALURU,KARNATAKA,IN
610005.0,"NEELAKUDI, THIRUVARUR",TAMIL NADU,IN
302021.0,JAIPUR,RAJASTHAN,IN
753009.0,CUTTACK,ODISHA,IN
700032.0,KOLKATA,WEST BENGAL,IN
520015.0,VIJAYAWADA,ANDHRA PRADESH,IN
401209.0,VASAI VIRAR,MAHARASHTRA,IN
171009.0,SHIMLA,HIMACHAL PRADESH,IN
641062.0,COIMBATORE,TAMIL NADU,IN
846003.0,DARBHANGA,BIHAR,IN
713101.0,BURDWAN,WEST BENGAL,IN
500055.0,HYDERABAD,TELANGANA,IN
700017.0,KOLKATA,WEST BENGAL,IN
441110.0,MIHAN,MAHARASHTRA,IN
203131.0,KHURJA,UTTAR PRADESH,IN
110029.0,NEW DELHI,DELHI,IN
194104.0,CHOGLAMSAR,LADAKH,IN
560033.0,BENGALURU,KARNATAKA,IN
445001.0,YAVATMAL,MAHARASHTRA,IN
212404.0,ALLAHABAD,UTTAR PRADESH,IN
768106.0,REDHAKHOL,ODISHA,IN
121002.0,FARIDABAD,HARYANA,IN
600071.0,CHENNAI,TAMIL NADU,IN
793018.0,SHILLONG,MEGHALAYA,IN
500084.0,HYDERABAD,TELANGANA,IN
243503.0,FARIDPUR BAREILLY DISTRICT,UTTAR PRADESH,IN
769015.0,ROURKELA,ODISHA,IN
535004.0,VIZIANAGARAM,ANDHRA PRADESH,IN
302019.0,JAIPUR,RAJASTHAN,IN
580003.0,DHARWAD,KARNATAKA,IN
177204.0,DAULATPUR,HIMACHAL PRADESH,IN
431203.0,JALNA,MAHARASHTRA,IN
505001.0,KARIMNAGAR,TELANGANA,IN
110033.0,NEW DELHI,DELHI,IN
442201.0,"ARVI,DIST- WARDHA",MAHARASHTRA,IN
734203.0,KURSEONG,WEST BENGAL,IN
500015.0,HYDERABAD,TELANGANA,IN
443404.0,NANDURA,MAHARASHTRA,IN
362570.0,DIU,DADRA AND NAGAR,IN
201010.0,GHAZIABAD,UTTAR PRADESH,IN
600012.0,CHENNAI,TAMIL NADU,IN
601204.0,PONNERI,TAMIL NADU,IN
500049.0,HYDERABAD,TELANGANA,IN
712249.0,SERAMPORE,WEST BENGAL,IN
574141.0,KINNIGOLI,KARNATAKA,IN
231001.0,MIRZAPUR CUM VINDHYACHAL,UTTAR PRADESH,IN
786001.0,DIBRUGARH,ASSAM,IN
401105.0,THANE,MAHARASHTRA,IN
560066.0,BENGALURU,KARNATAKA,IN
743438.0,DEGANGA,WEST BENGAL,IN
700033.0,KOLKATA,WEST BENGAL,IN
788710.0,KARIMGANJ,ASSAM,IN
382340.0,AHMEDABAD,GUJARAT,IN
678572.0,ALATHUR,KERALA,IN
683102.0,ALUVA,KERALA,IN
600083.0,CHENNAI,TAMIL NADU,IN
276141.0,AZAMGARH,UTTAR PRADESH,IN
503001.0,NIZAMABAD,TELANGANA,IN
412201.0,LONI KALBHOR,MAHARASHTRA,IN
829205.0,KHELARI,JHARKHAND,IN
560097.0,BENGALURU,KARNATAKA,IN
233001.0,GHAZIPUR,UTTAR PRADESH,IN
411048.0,PUNE,MAHARASHTRA,IN
753001.0,CUTTACK,ODISHA,IN
585104.0,KALABURGI,KARNATAKA,IN
855102.0,KATIHAR,BIHAR,IN
560086.0,BENGALURU,KARNATAKA,IN
629002.0,NAGERCOIL,TAMIL NADU,IN
400077.0,MUMBAI,MAHARASHTRA,IN
507101.0,KOTHAGUDEM,TELANGANA,IN
313603.0,BHINDER,RAJASTHAN,IN
382481.0,AHMEDABAD,GUJARAT,IN
600078.0,CHENNAI,TAMIL NADU,IN
144005.0,JALANDHAR,PUNJAB,IN
534275.0,NARASAPUR,ANDHRA PRADESH,IN
678502.0,PALAKKAD,KERALA,IN
535501.0,PARVATHIPURAM,ANDHRA PRADESH,IN
411024.0,PUNE,MAHARASHTRA,IN
400030.0,MUMBAI,MAHARASHTRA,IN
485001.0,SATNA,MADHYA PRADESH,IN
603103.0,PADUR,TAMIL NADU,IN
625007.0,MADURAI,TAMIL NADU,IN
400029.0,MUMBAI,MAHARASHTRA,IN
277001.0,BALLIA,UTTAR PRADESH,IN
411041.0,PUNE,MAHARASHTRA,IN
121003.0,FARIDABAD,HARYANA,IN
421204.0,KALYAN,MAHARASHTRA,IN
508248.0,DEVARAKONDA,TELANGANA,IN
122017.0,GURUGRAM,HARYANA,IN
680003.0,THRISSUR,KERALA,IN
560061.0,BANGALORE,KARNATAKA,IN
560057.0,BENGALURU,KARNATAKA,IN
560032.0,BENGALURU,KARNATAKA,IN
636701.0,DHARMAPURI,TAMIL NADU,IN
250002.0,MEERUT,UTTAR PRADESH,IN
500009.0,SECUNDERABAD,TELANGANA,IN
201305.0,NOIDA,UTTAR PRADESH,IN
833212.0,DANGUWAPASI,JHARKHAND,IN
786189.0,DHEMAJI,ASSAM,IN
442302.0,PULGAON,MAHARASHTRA,IN
680542.0,AKATHIYOOR,KERALA,IN
700004.0,KOLKATA,WEST BENGAL,IN
795008.0,IMPHAL EAST,MANIPUR,IN
522212.0,CHEBROLU,ANDHRA PRADESH,IN
688006.0,ALAPPUZHA,KERALA,IN
224122.0,AKBARPUR,UTTAR PRADESH,IN
441111.0,NAGPUR,MAHARASHTRA,IN
712246.0,NABAGRAM COLONY,WEST BENGAL,IN
700074.0,KOLKATA,WEST BENGAL,IN
400604.0,THANE,MAHARASHTRA,IN
673574.0,KOZHIKODE,KERALA,IN
